	highest_proba	outcome	cost_of_classification	used_features
91	0.9591038720067134	2	9	o_ar_c,history_noise,notch_at_4k,mod_sn_gt_3k,o_ar_u,bser,air,ar_u,m_sn_gt_4k
102	0.9704795376145768	9	5	o_ar_c,history_noise,air,airBoneGap,bone
123	0.6038690635319167	7	67	o_ar_c,history_noise,notch_at_4k,mod_sn_gt_3k,o_ar_u,bser,air,ar_u,m_sn_gt_4k,m_s_sn_gt_3k,m_s_sn_gt_4k,m_m_sn_gt_500,history_vomiting,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,m_m_sn_gt_2k,mod_sn_gt_1k,history_nausea,mod_sn_gt_2k,s_sn_gt_2k,m_m_sn_gt_1k,mod_sn_gt_500,m_sn_2_3k,boneAbnormal,notch_4k,airBoneGap,m_m_sn,history_buzzing,history_dizziness,history_fluctuating,history_fullness,history_heredity,history_recruitment,history_ringing,history_roaring,late_wave_poor,m_at_2k,m_cond_lt_1k,m_gt_1k,m_p_sn_gt_2k,m_sn_gt_3k,mod_gt_4k,m_m_gt_2k,m_s_sn,mod_sn_gt_4k,m_s_sn_gt_1k,m_s_sn_gt_2k,m_sn_gt_6k,bone,mod_mixed,ar_c,m_sn_gt_1k,m_sn_gt_500,m_sn_lt_1k,vmod_s_mixed,mod_sn,tymp,m_sn_gt_2k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged,static_normal
128	0.9517029282114026	7	9	o_ar_c,history_noise,air,airBoneGap,bone,tymp,notch_4k,notch_at_4k,m_m_sn_gt_1k
146	0.9984208105191847	6	3	o_ar_c,history_noise,notch_at_4k
162	0.9056829161441182	7	4	o_ar_c,history_noise,air,airBoneGap
169	0.9999690422026486	2	19	o_ar_c,history_noise,notch_at_4k,mod_sn_gt_3k,o_ar_u,bser,m_cond_lt_1k,ar_u,bone,m_p_sn_gt_2k,history_nausea,mod_sn_gt_2k,m_sn_gt_4k,m_m_sn_gt_500,boneAbnormal,m_sn_lt_2k,air,m_sn_lt_3k,m_m_sn
176	0.9297654813431525	7	5	o_ar_c,history_noise,air,airBoneGap,bone
181	0.9225649701543824	7	20	o_ar_c,history_noise,air,airBoneGap,tymp,o_ar_u,notch_at_4k,mod_sn_gt_3k,m_sn_gt_4k,m_m_sn_gt_500,history_nausea,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,history_vomiting,mod_sn_gt_2k,m_s_sn_gt_3k,m_s_sn_gt_4k,ar_c
182	0.9225649701543824	7	20	o_ar_c,history_noise,air,airBoneGap,tymp,o_ar_u,notch_at_4k,mod_sn_gt_3k,m_sn_gt_4k,m_m_sn_gt_500,history_nausea,m_s_gt_500,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,history_vomiting,mod_sn_gt_2k,m_s_sn_gt_3k,m_s_sn_gt_4k,ar_c
